implementation,N,threads,execution_ms,computation_ms,transfer_ms,transfer_bytes,total_ops,performance_mops,sorted_ok
cuda,10000,2,1.3032,1.2799,0.0132,80000,161024,125.8063,true
cuda,100000,13,1.5244,1.4356,0.0647,800000,1601024,1115.1926,true
cuda,1000000,123,2.9453,2.5026,0.3981,8000000,16001024,6393.6987,true
cuda,10000000,1221,18.1508,14.0793,4.0053,80000000,160001024,11364.3034,true
