implementation,N,threads,execution_ms,computation_ms,transfer_ms,transfer_bytes,total_ops,performance_mops,sorted_ok
sequential,10000,1,0.1188,0.1188,0.0000,0,161024,1355.5122,true
sequential,100000,1,0.8902,0.8902,0.0000,0,1601024,1798.3982,true
sequential,1000000,1,4.3993,4.3993,0.0000,0,16001024,3637.1824,true
sequential,10000000,1,52.2701,52.2701,0.0000,0,160001024,3061.0415,true
